Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,label
205,298,105,3,3.5,4.0,8.54,0,0.69,0
233,312,107,2,2.5,3.5,8.27,0,0.69,0
194,336,118,5,4.5,5.0,9.53,1,0.94,1
193,322,114,5,4.5,4.0,8.94,1,0.86,1
179,309,108,3,2.5,3.0,8.12,0,0.72,0
17,317,107,3,4.0,3.0,8.7,0,0.66,0
236,326,111,5,4.5,4.0,9.23,1,0.88,1
228,312,110,2,3.5,3.0,8.53,0,0.64,0
47,329,114,5,4.0,5.0,9.3,1,0.86,1
62,307,101,3,4.0,3.0,8.2,0,0.47,0
279,308,103,2,3.0,3.5,8.49,0,0.66,0
112,321,109,4,4.0,4.0,8.68,1,0.69,0
252,316,99,2,2.5,3.0,9.0,0,0.7,0
139,326,116,2,4.5,3.0,9.08,1,0.8,1
395,329,111,4,4.5,4.0,9.23,1,0.89,1
55,322,110,3,3.0,3.5,8.0,0,0.7,0
130,333,118,5,5.0,5.0,9.35,1,0.92,1
229,318,112,3,4.0,3.5,8.67,0,0.71,0
317,298,101,2,1.5,2.0,7.86,0,0.54,0
274,312,99,1,1.0,1.5,8.01,1,0.52,0
155,326,108,3,3.0,3.5,8.89,0,0.8,1
120,327,104,5,3.0,3.5,8.84,1,0.71,0
208,310,102,3,3.5,4.0,8.02,1,0.66,0
343,308,106,3,3.0,3.0,8.24,0,0.58,0
144,340,120,4,4.5,4.0,9.92,1,0.97,1
104,317,104,2,4.5,4.0,8.47,0,0.57,0
84,322,115,5,4.0,4.5,9.36,1,0.92,1
198,310,106,2,3.5,2.5,8.33,0,0.73,0
247,316,105,3,3.0,3.5,8.73,0,0.72,0
235,330,113,5,5.0,4.0,9.31,1,0.91,1
324,305,102,2,2.0,2.5,8.18,0,0.62,0
249,324,110,3,3.5,4.0,8.87,1,0.8,1
183,299,100,2,3.0,3.5,7.88,0,0.68,0
246,328,110,4,4.0,2.5,9.02,1,0.81,1
380,311,99,1,2.5,3.0,8.43,1,0.71,0
227,306,110,2,3.5,4.0,8.45,0,0.63,0
73,321,111,5,5.0,5.0,9.45,1,0.93,1
374,321,109,3,3.0,3.0,8.54,1,0.79,1
398,330,116,4,5.0,4.5,9.45,1,0.91,1
202,315,110,2,3.5,3.0,8.46,1,0.72,0
251,320,104,3,3.0,2.5,8.57,1,0.74,1
282,317,110,3,4.0,4.5,9.11,1,0.8,1
7,321,109,3,3.0,4.0,8.2,1,0.75,1
167,302,102,3,3.5,5.0,8.33,0,0.65,0
53,334,116,4,4.0,3.0,8.0,1,0.78,1
174,323,113,4,4.0,4.5,9.23,1,0.89,1
216,330,116,5,5.0,4.5,9.36,1,0.93,1
163,318,109,3,3.0,3.0,8.5,0,0.67,0
326,326,116,3,3.5,4.0,9.14,1,0.81,1
294,312,98,1,3.5,3.0,8.18,1,0.64,0
70,328,115,4,4.5,4.0,9.16,1,0.78,1
333,308,106,3,3.5,2.5,8.21,1,0.75,1
123,310,106,4,1.5,2.5,8.36,0,0.57,0
386,335,117,5,5.0,5.0,9.82,1,0.96,1
289,314,104,4,5.0,5.0,9.02,0,0.82,1
254,335,115,4,4.5,4.5,9.68,1,0.93,1
125,301,106,4,2.5,3.0,8.47,0,0.57,0
170,311,99,2,2.5,3.0,7.98,0,0.65,0
342,326,110,3,3.5,3.5,8.76,1,0.79,1
96,304,100,4,1.5,2.5,7.84,0,0.42,0
268,314,107,3,3.0,3.5,8.17,1,0.73,0
90,316,109,4,4.5,3.5,8.76,1,0.74,1
237,325,112,4,4.0,4.5,9.17,1,0.85,1
265,325,110,2,3.0,2.5,8.76,1,0.75,1
323,314,107,2,2.5,4.0,8.27,0,0.72,0
369,298,92,1,2.0,2.0,7.88,0,0.51,0
357,327,109,3,3.5,4.0,8.77,1,0.79,1
264,324,111,3,2.5,1.5,8.79,1,0.7,0
319,324,111,3,2.5,2.0,8.8,1,0.79,1
330,297,96,2,2.5,1.5,7.89,0,0.43,0
192,323,110,5,4.0,5.0,8.98,1,0.87,1
195,316,109,3,3.5,3.0,8.76,0,0.77,1
196,307,107,2,3.0,3.5,8.52,1,0.78,1
121,335,117,5,5.0,5.0,9.56,1,0.94,1
160,297,100,1,1.5,2.0,7.9,0,0.52,0
384,300,100,3,3.0,3.5,8.26,0,0.62,0
390,320,108,3,3.5,4.0,8.44,1,0.76,1
142,332,118,2,4.5,3.5,9.36,1,0.9,1
316,308,104,2,2.5,3.0,8.07,0,0.65,0
295,316,101,2,2.5,2.0,8.32,1,0.61,0
309,312,108,3,3.5,3.0,8.53,0,0.69,0
296,317,100,2,3.0,2.5,8.57,0,0.68,0
353,303,100,2,3.0,3.5,8.06,1,0.64,0
33,338,118,4,3.0,4.5,9.4,1,0.91,1
197,306,105,2,3.0,2.5,8.26,0,0.73,0
258,324,100,3,4.0,5.0,8.64,1,0.78,1
126,300,100,3,2.0,3.0,8.66,1,0.64,0
203,340,120,5,4.5,4.5,9.91,1,0.97,1
286,331,116,5,4.0,4.0,9.26,1,0.93,1
354,300,102,3,3.5,2.5,8.17,0,0.63,0
186,327,113,4,4.5,4.5,9.11,1,0.89,1
24,334,119,5,5.0,4.5,9.7,1,0.95,1
359,314,105,2,2.5,2.0,7.64,0,0.7,0
162,298,99,1,1.5,3.0,7.46,0,0.53,0
34,340,114,5,4.0,4.0,9.6,1,0.9,1
31,300,97,2,3.0,3.0,8.1,1,0.65,0
371,310,103,2,2.5,2.5,8.24,0,0.72,0
80,294,93,1,1.5,2.0,7.36,0,0.46,0
370,301,98,1,2.0,3.0,8.03,1,0.67,0
122,334,119,5,4.5,4.5,9.48,1,0.94,1
337,319,110,3,3.0,2.5,8.79,0,0.72,0
165,329,111,4,4.5,4.0,9.01,1,0.81,1
30,310,99,2,1.5,2.0,7.3,0,0.54,0
275,315,100,1,2.0,2.5,7.95,0,0.58,0
335,312,107,4,4.5,4.0,8.65,1,0.73,0
310,308,110,4,3.5,3.0,8.6,0,0.7,0
143,331,115,5,4.0,3.5,9.44,1,0.92,1
